name,x1,x2,y1,y2,classname
1906.jpg,1159,739,1293,853,eyeglasses
1909.jpg,426,37,476,60,eyeglasses
1914.jpg,193,37,230,53,eyeglasses
1914.jpg,601,202,644,234,eyeglasses
1914.jpg,121,345,174,399,eyeglasses
1914.jpg,661,55,686,73,eyeglasses
1917.jpg,137,75,226,121,eyeglasses
1924.jpg,207,301,334,360,eyeglasses
1930.jpg,252,238,570,371,eyeglasses
1931.jpg,402,233,681,343,eyeglasses
1947.jpg,482,356,702,431,eyeglasses
1951.jpg,598,126,709,164,eyeglasses
1952.jpg,710,173,862,235,eyeglasses
1952.jpg,71,315,130,362,eyeglasses
1956.jpg,342,138,411,172,eyeglasses
1961.png,206,189,451,301,eyeglasses
1972.jpg,564,195,598,212,eyeglasses
1972.jpg,368,223,400,241,eyeglasses
1978.jpg,721,97,853,146,eyeglasses
1982.png,328,61,397,97,eyeglasses
1985.jpg,459,138,492,164,eyeglasses
1985.jpg,364,102,405,124,eyeglasses
1985.jpg,118,99,180,128,eyeglasses
1989.jpg,671,335,754,409,eyeglasses
1991.jpg,2375,1429,2614,1560,eyeglasses
1992.jpg,1586,723,1855,850,eyeglasses
1993.jpg,462,623,559,679,eyeglasses
1993.jpg,281,604,367,664,eyeglasses
1999.jpg,606,284,824,418,eyeglasses
1999.jpg,1220,502,1325,561,eyeglasses
2000.jpg,0,66,111,169,eyeglasses
2005.jpg,508,731,1166,1020,eyeglasses
2008.jpg,152,143,223,179,eyeglasses
2009.jpg,299,309,413,363,eyeglasses
2009.jpg,712,353,832,400,eyeglasses
2016.jpg,1917,414,2088,494,eyeglasses
2016.jpg,1075,250,1208,314,eyeglasses
2018.jpg,799,265,1032,363,eyeglasses
2034.jpg,735,212,792,240,eyeglasses
2037.jpg,41,163,249,267,eyeglasses
2045.jpg,290,126,384,174,eyeglasses
2048.jpg,79,335,147,377,eyeglasses
2050.jpg,241,93,278,112,eyeglasses
2055.jpg,588,154,673,183,eyeglasses
2058.jpg,236,202,356,253,eyeglasses
2076.jpg,496,211,623,258,eyeglasses
2077.jpg,117,256,242,312,eyeglasses
2080.jpg,304,84,425,138,eyeglasses
2081.jpg,654,448,1024,670,eyeglasses
2081.jpg,287,906,719,1123,eyeglasses
2084.jpg,665,106,688,117,eyeglasses
2092.jpg,530,96,582,124,eyeglasses
2104.jpg,142,84,250,120,eyeglasses
2104.jpg,379,89,467,117,eyeglasses
2112.jpg,81,53,118,71,eyeglasses
2117.jpg,2495,904,2950,1163,eyeglasses
2121.jpg,209,130,345,178,eyeglasses
2122.jpg,436,375,491,392,eyeglasses
2122.jpg,587,270,621,285,eyeglasses
2123.jpg,420,163,542,208,eyeglasses
2128.jpg,403,131,463,198,eyeglasses
2152.jpg,165,124,321,174,eyeglasses
2161.png,318,259,370,277,eyeglasses
2165.png,87,192,357,294,eyeglasses
2168.png,342,209,531,317,eyeglasses
2171.png,452,173,708,257,eyeglasses
2177.png,397,211,504,261,eyeglasses
2234.png,603,75,731,114,eyeglasses
2239.png,254,88,412,137,eyeglasses
2244.png,160,153,213,179,eyeglasses
2248.png,241,177,397,231,eyeglasses
2255.png,465,172,661,289,eyeglasses
2258.png,186,268,211,276,eyeglasses
2276.png,288,308,456,374,eyeglasses
2278.png,509,389,677,451,eyeglasses
2279.png,195,251,345,309,eyeglasses
2279.png,2,106,72,234,eyeglasses
2285.png,431,356,518,460,eyeglasses
2285.png,743,155,807,193,eyeglasses
2286.png,447,202,492,219,eyeglasses
2299.png,380,108,414,122,eyeglasses
2300.png,50,184,567,363,eyeglasses
2336.png,510,183,621,232,eyeglasses
2344.png,528,97,599,126,eyeglasses
2354.png,239,181,296,194,eyeglasses
2354.png,420,200,525,247,eyeglasses
2355.png,249,164,337,188,eyeglasses
2361.png,282,207,571,312,eyeglasses
2364.png,191,239,610,338,eyeglasses
2373.png,420,266,522,298,eyeglasses
2384.png,390,151,565,201,eyeglasses
2387.png,207,270,503,346,eyeglasses
2388.png,170,124,346,163,eyeglasses
2389.png,232,199,449,269,eyeglasses
2395.png,211,144,242,152,eyeglasses
2404.png,33,443,69,461,eyeglasses
2405.png,408,180,464,193,eyeglasses
2406.png,193,474,259,495,eyeglasses
2407.png,212,186,531,297,eyeglasses
2419.png,190,330,214,336,eyeglasses
2423.png,264,104,442,171,eyeglasses
2457.png,501,216,576,243,eyeglasses
2464.png,419,108,521,141,eyeglasses
2470.png,168,89,421,266,eyeglasses
2475.png,190,190,531,292,eyeglasses
2490.png,110,306,376,399,eyeglasses
2496.png,208,217,298,253,eyeglasses
2499.png,337,281,468,308,eyeglasses
2499.png,37,220,111,243,eyeglasses
2500.png,423,82,482,102,eyeglasses
2503.png,107,82,434,252,eyeglasses
2507.png,393,112,570,202,eyeglasses
2508.png,281,227,353,258,eyeglasses
2525.png,214,203,510,305,eyeglasses
2540.png,338,370,656,470,eyeglasses
2541.png,120,272,338,349,eyeglasses
2546.png,596,334,661,360,eyeglasses
2554.png,167,163,263,177,eyeglasses
2555.png,59,223,133,249,eyeglasses
2556.png,86,130,106,137,eyeglasses
2557.png,347,180,490,254,eyeglasses
2578.png,271,169,691,319,eyeglasses
2579.png,223,150,525,278,eyeglasses
2580.png,172,78,277,112,eyeglasses
2581.png,283,113,387,144,eyeglasses
2588.png,170,317,406,400,eyeglasses
2599.png,120,218,333,288,eyeglasses
2605.png,370,148,409,159,eyeglasses
2606.png,270,190,431,248,eyeglasses
2616.png,276,318,324,366,eyeglasses
2617.png,48,210,84,255,eyeglasses
2617.png,235,194,260,212,eyeglasses
2619.png,768,389,879,421,eyeglasses
2619.png,401,257,449,322,eyeglasses
2623.png,385,279,426,293,eyeglasses
2625.png,218,255,323,304,eyeglasses
2625.png,292,322,463,423,eyeglasses
2637.png,316,85,370,98,eyeglasses
2640.png,306,99,473,160,eyeglasses
2641.png,191,281,471,368,eyeglasses
2642.png,205,149,428,201,eyeglasses
2648.png,230,81,323,108,eyeglasses
2648.png,625,80,717,105,eyeglasses
2648.png,2,275,58,305,eyeglasses
2659.png,192,191,519,284,eyeglasses
2663.png,497,98,592,161,eyeglasses
2674.png,459,257,511,295,eyeglasses
2676.png,343,342,400,369,eyeglasses
2677.png,100,120,190,152,eyeglasses
2678.png,557,92,646,115,eyeglasses
2678.png,102,104,131,133,eyeglasses
2705.png,219,43,676,194,eyeglasses
2706.png,148,158,546,313,eyeglasses
2707.png,191,193,521,286,eyeglasses
2711.png,196,199,280,233,eyeglasses
2717.png,177,100,263,134,eyeglasses
2727.png,253,117,464,192,eyeglasses
2732.png,250,157,271,166,eyeglasses
2734.png,153,160,205,177,eyeglasses
2737.png,583,125,806,185,eyeglasses
2741.png,252,203,284,229,eyeglasses
2770.png,212,143,632,299,eyeglasses
2785.png,410,94,543,146,eyeglasses
2789.png,153,246,544,359,eyeglasses
2793.png,124,222,325,309,eyeglasses
2797.png,87,20,156,45,eyeglasses
2798.png,785,128,1019,281,eyeglasses
2799.png,814,121,933,155,eyeglasses
2801.png,351,111,477,136,eyeglasses
2813.png,195,285,213,289,eyeglasses
2813.png,618,307,657,317,eyeglasses
2840.png,331,165,446,206,eyeglasses
2847.png,317,230,603,292,eyeglasses
2865.png,184,45,239,82,eyeglasses
2869.png,361,241,569,321,eyeglasses
2873.png,160,305,208,324,eyeglasses
2884.png,221,151,337,197,eyeglasses
2889.png,72,232,160,258,eyeglasses
2889.png,358,173,424,201,eyeglasses
2906.png,457,119,599,212,eyeglasses
2909.png,15,205,385,314,eyeglasses
2909.png,400,232,593,301,eyeglasses
2915.png,75,323,118,331,eyeglasses
2935.png,392,42,431,54,eyeglasses
2948.png,256,130,319,155,eyeglasses
2953.png,309,72,449,119,eyeglasses
2974.png,198,226,598,372,eyeglasses
2975.png,135,265,597,401,eyeglasses
2978.png,359,201,392,209,eyeglasses
2980.png,291,126,434,180,eyeglasses
2983.png,241,156,591,277,eyeglasses
2984.png,371,161,436,170,eyeglasses
2986.png,172,154,370,240,eyeglasses
3000.png,378,159,565,221,eyeglasses
3002.png,44,314,101,347,eyeglasses
3002.png,210,310,222,321,eyeglasses
3002.png,317,268,351,284,eyeglasses
3003.png,767,203,966,266,eyeglasses
3003.png,262,278,448,470,eyeglasses
3004.png,457,112,573,165,eyeglasses
3016.png,304,318,368,335,eyeglasses
3019.png,215,132,266,227,eyeglasses
3020.png,374,94,432,108,eyeglasses
3021.png,313,86,385,106,eyeglasses
3030.png,145,80,228,105,eyeglasses
3034.png,285,145,424,193,eyeglasses
3037.png,805,293,840,314,eyeglasses
3037.png,769,273,795,283,eyeglasses
3037.png,953,293,1025,319,eyeglasses
3045.png,247,111,380,166,eyeglasses
3047.png,73,197,350,317,eyeglasses
3063.png,443,134,529,171,eyeglasses
3066.png,319,56,393,96,eyeglasses
3067.png,145,75,202,120,eyeglasses
3067.png,365,141,411,168,eyeglasses
3070.png,265,177,342,223,eyeglasses
3082.png,38,62,101,84,eyeglasses
3086.png,563,124,633,143,eyeglasses
3086.png,197,160,248,195,eyeglasses
3091.png,27,378,141,461,eyeglasses
3091.png,532,250,629,302,eyeglasses
3096.png,209,127,540,269,eyeglasses
3113.png,206,192,656,300,eyeglasses
3120.png,135,296,158,303,eyeglasses
3123.png,483,457,616,502,eyeglasses
3131.png,281,120,316,132,eyeglasses
3148.png,101,188,428,299,eyeglasses
3153.png,140,232,562,382,eyeglasses
3177.png,492,309,515,320,eyeglasses
3179.png,185,377,227,401,eyeglasses
3179.png,255,220,317,255,eyeglasses
3180.png,352,219,493,330,eyeglasses
3181.png,366,148,455,185,eyeglasses
3181.png,689,227,765,267,eyeglasses
3181.png,56,56,118,87,eyeglasses
3181.png,0,98,67,134,eyeglasses
3183.png,191,105,239,137,eyeglasses
3184.png,261,141,357,218,eyeglasses
3184.png,43,50,56,65,eyeglasses
3188.png,110,244,160,272,eyeglasses
3188.png,429,225,511,249,eyeglasses
3193.png,54,173,268,355,eyeglasses
3193.png,257,295,345,350,eyeglasses
3194.png,106,185,205,227,eyeglasses
3203.png,310,204,495,268,eyeglasses
3217.png,654,62,688,80,eyeglasses
3220.png,137,94,206,128,eyeglasses
3224.png,338,125,602,264,eyeglasses
3228.png,284,160,337,179,eyeglasses
3240.png,232,244,280,269,eyeglasses
3240.png,366,229,407,249,eyeglasses
3241.png,514,149,556,199,eyeglasses
3246.png,364,165,391,173,eyeglasses
3260.png,350,80,429,106,eyeglasses
3266.png,350,356,647,490,eyeglasses
3268.png,534,125,582,145,eyeglasses
3269.png,278,95,392,167,eyeglasses
3285.png,151,225,483,356,eyeglasses
3297.png,441,512,518,556,eyeglasses
3300.png,445,266,468,283,eyeglasses
3303.png,395,216,427,229,eyeglasses
3304.png,699,126,748,151,eyeglasses
3305.png,81,425,107,445,eyeglasses
3308.png,177,122,204,129,eyeglasses
3309.png,319,163,366,186,eyeglasses
3312.png,90,100,125,113,eyeglasses
3312.png,260,52,285,60,eyeglasses
3321.png,90,125,142,147,eyeglasses
3324.png,59,135,509,321,eyeglasses
3327.png,622,108,763,157,eyeglasses
3350.png,99,149,119,164,eyeglasses
3362.png,545,157,577,171,eyeglasses
3369.png,186,32,341,196,eyeglasses
3376.png,211,214,254,234,eyeglasses
3376.png,422,224,458,242,eyeglasses
3382.png,147,119,390,193,eyeglasses
3384.png,1,273,315,368,eyeglasses
3385.png,177,182,426,267,eyeglasses
3391.png,265,149,409,226,eyeglasses
3393.png,159,224,392,294,eyeglasses
1801.jpg,451,186,895,697,face_no_mask
1808.jpg,3,650,338,1374,face_no_mask
1809.jpg,915,78,1419,742,face_no_mask
1811.jpg,435,83,583,276,face_no_mask
1812.jpg,91,125,148,183,face_no_mask
1813.jpg,203,56,590,552,face_no_mask
1814.jpg,260,133,484,426,face_no_mask
1815.jpg,196,125,737,852,face_no_mask
1819.jpg,328,100,433,237,face_no_mask
1821.jpg,25,111,51,140,face_no_mask
1827.jpg,477,186,677,418,face_no_mask
1831.jpg,324,215,768,846,face_no_mask
1833.jpg,287,238,334,308,face_no_mask
1851.jpg,255,180,346,303,face_no_mask
1852.jpg,543,334,812,672,face_no_mask
1856.jpg,680,340,1664,1784,face_no_mask
1857.jpg,318,27,540,345,face_no_mask
1885.jpg,107,183,348,562,face_no_mask
1888.jpg,247,131,474,415,face_no_mask
1892.jpg,247,121,369,250,face_no_mask
1897.jpg,89,1,252,203,face_no_mask
1914.jpg,503,150,562,212,face_no_mask
1921.jpg,68,124,341,452,face_no_mask
1922.jpg,139,92,548,593,face_no_mask
1923.jpg,82,103,377,455,face_no_mask
1931.jpg,370,64,761,564,face_no_mask
1932.jpg,324,5,877,666,face_no_mask
1934.jpg,12,19,875,1475,face_no_mask
1935.jpg,117,359,790,1211,face_no_mask
1938.jpg,81,91,136,167,face_no_mask
1940.jpg,913,231,1115,494,face_no_mask
1952.jpg,940,196,1100,357,face_no_mask
1953.jpg,3588,293,4059,913,face_no_mask
1955.jpg,195,198,459,533,face_no_mask
1957.jpg,106,119,483,604,face_no_mask
1965.jpg,233,278,1338,1508,face_no_mask
1967.jpg,539,74,631,177,face_no_mask
1975.jpg,55,323,337,652,face_no_mask
1977.jpg,470,113,884,572,face_no_mask
1987.jpg,72,150,103,191,face_no_mask
1988.jpg,436,187,717,532,face_no_mask
1989.jpg,250,96,366,227,face_no_mask
1990.jpg,454,194,594,356,face_no_mask
1990.jpg,717,377,856,532,face_no_mask
1991.jpg,2144,1228,2315,1422,face_no_mask
1994.jpg,647,479,837,717,face_no_mask
2005.jpg,396,390,1231,1420,face_no_mask
2008.jpg,433,267,455,292,face_no_mask
2010.jpg,290,120,358,216,face_no_mask
2011.jpg,881,6,1416,510,face_no_mask
2014.jpg,1369,96,1737,552,face_no_mask
2027.jpg,491,41,1224,855,face_no_mask
2036.jpg,30,156,243,403,face_no_mask
2038.jpg,362,112,382,133,face_no_mask
2041.jpg,1924,253,2090,462,face_no_mask
2048.jpg,31,302,152,424,face_no_mask
2060.jpg,750,67,1254,668,face_no_mask
2061.jpeg,118,25,380,365,face_no_mask
2064.jpg,1005,304,2110,1523,face_no_mask
2071.jpg,301,308,785,839,face_no_mask
2075.jpg,265,186,675,655,face_no_mask
2079.jpg,590,194,655,275,face_no_mask
2079.jpg,190,227,262,320,face_no_mask
2081.jpg,253,58,552,383,face_no_mask
2082.jpg,262,21,550,349,face_no_mask
2092.jpg,429,39,507,128,face_no_mask
2096.jpg,693,39,868,270,face_no_mask
2096.jpg,120,99,217,298,face_no_mask
2098.jpg,339,63,592,437,face_no_mask
2101.jpg,556,259,655,407,face_no_mask
2103.jpg,253,11,360,183,face_no_mask
2121.jpg,695,54,777,170,face_no_mask
2122.jpg,2,257,27,283,face_no_mask
2124.jpg,1299,153,1480,374,face_no_mask
2125.png,59,161,218,349,face_no_mask
2133.jpg,3064,468,3587,981,face_no_mask
2148.jpg,696,168,763,262,face_no_mask
2151.jpg,736,81,820,199,face_no_mask
2155.png,494,72,517,107,face_no_mask
2229.png,197,127,254,180,face_no_mask
2246.png,303,49,455,227,face_no_mask
2247.png,290,73,377,200,face_no_mask
2249.png,385,8,600,315,face_no_mask
2275.png,319,232,372,295,face_no_mask
2276.png,0,243,288,598,face_no_mask
2277.png,358,68,435,154,face_no_mask
2278.png,369,7,471,107,face_no_mask
2280.png,611,51,718,180,face_no_mask
2287.png,442,42,503,146,face_no_mask
2293.png,384,312,418,358,face_no_mask
2297.png,609,0,710,48,face_no_mask
2302.png,167,13,416,301,face_no_mask
2310.png,435,183,470,223,face_no_mask
2311.png,28,24,474,572,face_no_mask
2313.png,321,6,491,210,face_no_mask
2322.png,531,2,582,64,face_no_mask
2322.png,74,42,166,118,face_no_mask
2354.png,613,188,640,223,face_no_mask
2355.png,441,72,567,240,face_no_mask
2371.png,449,348,479,377,face_no_mask
2373.png,240,185,263,211,face_no_mask
2373.png,214,202,235,229,face_no_mask
2376.png,227,2,438,173,face_no_mask
2383.png,111,15,249,170,face_no_mask
2404.png,150,406,199,470,face_no_mask
2419.png,186,427,268,500,face_no_mask
2419.png,28,260,52,287,face_no_mask
2421.png,534,81,624,211,face_no_mask
2427.png,573,171,620,245,face_no_mask
2443.png,94,2,412,308,face_no_mask
2444.png,341,37,433,136,face_no_mask
2453.png,190,27,413,311,face_no_mask
2454.png,373,17,505,211,face_no_mask
2460.png,650,5,805,184,face_no_mask
2492.png,405,63,450,125,face_no_mask
2493.png,133,182,163,230,face_no_mask
2497.png,336,0,481,134,face_no_mask
2499.png,164,107,216,186,face_no_mask
2513.png,177,7,349,162,face_no_mask
2514.png,247,2,569,251,face_no_mask
2521.png,285,6,455,209,face_no_mask
2522.png,240,11,486,301,face_no_mask
2537.png,157,468,286,607,face_no_mask
2563.png,263,6,317,71,face_no_mask
2573.png,266,207,291,237,face_no_mask
2575.png,431,130,519,259,face_no_mask
2612.png,0,55,66,201,face_no_mask
2616.png,5,233,93,347,face_no_mask
2629.png,331,11,430,144,face_no_mask
2636.png,336,34,568,340,face_no_mask
2644.png,238,390,276,466,face_no_mask
2669.png,78,49,131,113,face_no_mask
2670.png,469,139,523,217,face_no_mask
2675.png,0,147,17,192,face_no_mask
2678.png,232,281,281,329,face_no_mask
2689.png,370,127,398,155,face_no_mask
2693.png,288,77,405,267,face_no_mask
2711.png,953,243,1011,340,face_no_mask
2714.png,518,160,538,187,face_no_mask
2734.png,317,215,350,262,face_no_mask
2753.png,112,91,190,186,face_no_mask
2780.png,99,72,155,161,face_no_mask
2812.png,98,58,125,89,face_no_mask
2817.png,295,72,411,223,face_no_mask
2832.png,582,123,690,263,face_no_mask
2928.png,305,269,346,318,face_no_mask
2935.png,151,151,224,229,face_no_mask
2941.png,131,279,166,317,face_no_mask
2952.png,170,13,285,177,face_no_mask
2964.png,198,73,320,265,face_no_mask
2966.png,333,4,550,270,face_no_mask
2967.png,325,5,484,216,face_no_mask
2968.png,323,1,522,227,face_no_mask
2969.png,354,22,619,354,face_no_mask
2997.png,89,195,123,236,face_no_mask
3000.png,347,221,418,330,face_no_mask
3007.png,124,39,210,149,face_no_mask
3008.png,257,176,280,214,face_no_mask
3024.png,147,53,334,334,face_no_mask
3025.png,302,29,465,228,face_no_mask
3037.png,330,93,433,228,face_no_mask
3064.png,327,107,398,207,face_no_mask
3071.png,752,10,1016,319,face_no_mask
3074.png,70,230,136,301,face_no_mask
3082.png,773,48,824,124,face_no_mask
3085.png,359,5,497,170,face_no_mask
3086.png,133,119,251,211,face_no_mask
3111.png,613,289,663,347,face_no_mask
3123.png,549,148,618,252,face_no_mask
3131.png,711,82,746,123,face_no_mask
3143.png,114,7,257,166,face_no_mask
3163.png,376,154,514,332,face_no_mask
3177.png,392,306,430,350,face_no_mask
3178.png,4,2,122,123,face_no_mask
3181.png,4,137,83,276,face_no_mask
3184.png,450,97,537,267,face_no_mask
3193.png,319,242,420,395,face_no_mask
3213.png,166,53,279,206,face_no_mask
3253.png,335,3,495,170,face_no_mask
3254.png,411,259,452,314,face_no_mask
3273.png,90,31,218,183,face_no_mask
3283.png,4,334,162,653,face_no_mask
3297.png,182,392,266,509,face_no_mask
3308.png,402,108,426,138,face_no_mask
3314.png,223,6,420,238,face_no_mask
3326.png,30,152,95,233,face_no_mask
3334.png,271,52,406,195,face_no_mask
3351.png,461,214,524,295,face_no_mask
3353.png,27,306,101,395,face_no_mask
3357.png,421,116,595,321,face_no_mask
3361.png,80,111,103,139,face_no_mask
3372.png,284,1,492,188,face_no_mask
3378.png,495,180,525,216,face_no_mask
3379.png,58,10,329,340,face_no_mask
1807.jpg,700,165,1802,1525,face_other_covering
1817.jpg,382,47,511,244,face_other_covering
1820.jpg,745,1083,1228,1713,face_other_covering
1821.jpg,130,136,227,240,face_other_covering
1824.jpeg,90,78,301,307,face_other_covering
1830.jpg,263,208,527,542,face_other_covering
1833.jpg,310,1,351,52,face_other_covering
1834.jpg,472,52,633,286,face_other_covering
1834.jpg,481,103,627,265,face_other_covering
1838.jpg,800,49,888,154,face_other_covering
1838.jpg,126,131,209,228,face_other_covering
1842.jpg,560,75,805,376,face_other_covering
1851.jpg,387,48,583,314,face_other_covering
1853.jpg,232,103,477,372,face_other_covering
1861.jpg,518,116,938,632,face_other_covering
1862.jpg,2548,524,4253,2675,face_other_covering
1865.jpg,999,977,3135,3014,face_other_covering
1866.jpg,706,576,2412,2826,face_other_covering
1868.jpg,1211,605,2167,1761,face_other_covering
1875.jpg,1758,1132,3712,3593,face_other_covering
1876.jpg,186,63,417,357,face_other_covering
1877.jpg,837,670,2037,2234,face_other_covering
1878.jpg,759,1336,3234,4226,face_other_covering
1879.jpg,591,1082,2363,3316,face_other_covering
1884.jpg,508,922,1929,2655,face_other_covering
1890.jpg,145,41,223,144,face_other_covering
1928.jpg,464,74,738,441,face_other_covering
1929.jpg,556,101,805,398,face_other_covering
1930.jpg,236,116,603,590,face_other_covering
1948.jpg,1380,266,2179,1408,face_other_covering
1951.jpg,352,70,591,396,face_other_covering
1952.jpg,701,96,944,362,face_other_covering
1953.jpg,222,294,764,1037,face_other_covering
1958.jpg,249,76,636,571,face_other_covering
1964.png,79,101,361,518,face_other_covering
1968.jpg,987,235,1102,408,face_other_covering
1970.jpg,229,143,293,227,face_other_covering
1970.jpg,225,150,289,226,face_other_covering
1982.png,482,73,579,197,face_other_covering
1985.jpg,452,100,537,190,face_other_covering
1989.jpg,655,241,916,498,face_other_covering
1991.jpg,3534,1255,3801,1572,face_other_covering
1994.jpg,327,117,600,407,face_other_covering
1998.jpg,622,0,2915,2411,face_other_covering
1999.jpg,567,189,970,610,face_other_covering
2002.jpg,79,82,270,364,face_other_covering
2004.jpg,387,109,642,450,face_other_covering
2010.jpg,612,193,733,337,face_other_covering
2017.jpg,607,125,1195,795,face_other_covering
2019.jpg,357,270,1097,1283,face_other_covering
2024.jpg,572,4,695,172,face_other_covering
2031.jpg,286,68,1312,1212,face_other_covering
2033.jpg,190,316,414,606,face_other_covering
2052.jpg,118,197,228,333,face_other_covering
2062.jpeg,2192,203,2861,942,face_other_covering
2067.jpg,368,151,625,467,face_other_covering
2068.jpg,375,411,1984,2454,face_other_covering
2074.jpg,925,990,2131,2321,face_other_covering
2084.jpg,680,101,724,160,face_other_covering
2089.jpg,123,37,213,169,face_other_covering
2093.jpg,325,40,397,117,face_other_covering
2094.jpg,949,77,1113,277,face_other_covering
2095.jpg,204,12,488,424,face_other_covering
2097.jpg,601,172,727,349,face_other_covering
2097.jpg,234,85,554,393,face_other_covering
2111.jpg,57,7,616,685,face_other_covering
2112.jpg,79,25,117,81,face_other_covering
2118.jpg,913,135,1669,880,face_other_covering
2119.jpg,386,88,803,547,face_other_covering
2120.jpg,284,382,570,611,face_other_covering
2122.jpg,499,252,539,291,face_other_covering
2125.png,329,210,465,378,face_other_covering
2126.jpg,115,50,493,427,face_other_covering
2127.jpg,75,21,424,479,face_other_covering
2129.jpg,203,6,496,373,face_other_covering
2138.jpg,107,0,345,292,face_other_covering
2139.jpg,102,15,213,195,face_other_covering
2139.jpg,425,46,540,202,face_other_covering
2140.jpeg,206,52,328,207,face_other_covering
2142.jpg,320,99,432,246,face_other_covering
2142.jpg,469,85,604,241,face_other_covering
2149.jpg,268,87,493,346,face_other_covering
2150.jpg,137,166,622,728,face_other_covering
2151.jpg,642,94,687,136,face_other_covering
2157.png,452,45,682,347,face_other_covering
2165.png,412,52,680,434,face_other_covering
2186.png,129,99,365,416,face_other_covering
2196.png,282,34,507,295,face_other_covering
2197.png,253,98,437,314,face_other_covering
2198.png,53,21,317,310,face_other_covering
2200.png,357,0,697,420,face_other_covering
2206.png,24,122,317,480,face_other_covering
